Date,Rented Bike Count,Hour,Temperature(øC),Humidity(%),Visibility (10m),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
14/01/2018,48,4,-4,79,453,0,0,Winter,No Holiday,Yes
14/01/2018,29,5,-4.2,79,442,0,0,Winter,No Holiday,Yes
14/01/2018,49,6,-4.3,79,433,0,0,Winter,No Holiday,Yes
14/01/2018,59,7,-4.4,80,411,0,0,Winter,No Holiday,Yes
14/01/2018,81,8,-3.8,79,412,0,0,Winter,No Holiday,Yes
14/01/2018,118,9,-3.4,77,432,0,0,Winter,No Holiday,Yes
14/01/2018,134,10,-2.1,72,489,0,0,Winter,No Holiday,Yes
14/01/2018,174,11,-0.5,64,537,0,0,Winter,No Holiday,Yes
14/01/2018,226,12,1.2,58,550,0,0,Winter,No Holiday,Yes
14/01/2018,272,13,3,52,568,0,0,Winter,No Holiday,Yes
14/01/2018,304,14,3.7,53,592,0,0,Winter,No Holiday,Yes
14/01/2018,353,15,4.6,50,824,0,0,Winter,No Holiday,Yes
14/01/2018,366,16,5.3,49,982,0,0,Winter,No Holiday,Yes
14/01/2018,302,17,4.5,51,1244,0,0,Winter,No Holiday,Yes
14/01/2018,250,18,4.1,53,1132,0,0,Winter,No Holiday,Yes
14/01/2018,208,19,3.9,54,1102,0,0,Winter,No Holiday,Yes
14/01/2018,210,20,3.5,55,1100,0,0,Winter,No Holiday,Yes
14/01/2018,213,21,3.1,58,936,0,0,Winter,No Holiday,Yes
14/01/2018,196,22,2.8,60,829,0,0,Winter,No Holiday,Yes
14/01/2018,144,23,2.7,60,794,0,0,Winter,No Holiday,Yes
15/01/2018,171,0,3,60,842,0,0,Winter,No Holiday,Yes
15/01/2018,122,1,3,62,835,0,0,Winter,No Holiday,Yes
15/01/2018,74,2,3.6,65,959,0,0,Winter,No Holiday,Yes
15/01/2018,58,3,4.4,70,928,0,0,Winter,No Holiday,Yes
15/01/2018,38,4,4.9,73,881,0,0,Winter,No Holiday,Yes
15/01/2018,55,5,5,76,808,0,0,Winter,No Holiday,Yes
15/01/2018,82,6,4.9,83,582,0,0,Winter,No Holiday,Yes
15/01/2018,209,7,4.4,87,357,0,0,Winter,No Holiday,Yes
15/01/2018,444,8,4.1,85,470,0,0,Winter,No Holiday,Yes
15/01/2018,303,9,3.9,86,399,0.2,0,Winter,No Holiday,Yes
15/01/2018,212,10,4.2,82,560,0,0,Winter,No Holiday,Yes
15/01/2018,254,11,4.7,75,533,0,0,Winter,No Holiday,Yes
15/01/2018,311,12,6.2,64,549,0,0,Winter,No Holiday,Yes
15/01/2018,309,13,6.1,61,534,0,0,Winter,No Holiday,Yes
15/01/2018,306,14,7.1,52,646,0,0,Winter,No Holiday,Yes
15/01/2018,349,15,7.4,38,817,0,0,Winter,No Holiday,Yes
15/01/2018,365,16,7.5,37,813,0,0,Winter,No Holiday,Yes
15/01/2018,455,17,6.5,40,804,0,0,Winter,No Holiday,Yes
15/01/2018,555,18,5.2,44,647,0,0,Winter,No Holiday,Yes
15/01/2018,444,19,4.4,53,538,0,0,Winter,No Holiday,Yes
15/01/2018,321,20,3.7,58,474,0,0,Winter,No Holiday,Yes
15/01/2018,334,21,3.4,59,471,0,0,Winter,No Holiday,Yes
15/01/2018,333,22,3,61,460,0,0,Winter,No Holiday,Yes
15/01/2018,230,23,2.4,63,443,0,0,Winter,No Holiday,Yes
16/01/2018,212,0,1.8,67,387,0,0,Winter,No Holiday,Yes
16/01/2018,207,1,1.2,64,455,0,0,Winter,No Holiday,Yes
16/01/2018,141,2,0.5,72,385,0,0,Winter,No Holiday,Yes
16/01/2018,81,3,0.3,70,438,0,0,Winter,No Holiday,Yes
16/01/2018,51,4,0.8,65,502,0,0,Winter,No Holiday,Yes
16/01/2018,58,5,1.1,64,505,0,0,Winter,No Holiday,Yes
16/01/2018,140,6,1.2,69,436,0,0,Winter,No Holiday,Yes
16/01/2018,318,7,1.1,69,418,0,0,Winter,No Holiday,Yes
16/01/2018,650,8,1.2,68,411,0,0,Winter,No Holiday,Yes
16/01/2018,376,9,1.9,65,402,0,0,Winter,No Holiday,Yes
16/01/2018,221,10,2.7,60,392,0,0,Winter,No Holiday,Yes
16/01/2018,256,11,3.9,57,363,0,0,Winter,No Holiday,Yes
16/01/2018,276,12,5.2,52,349,0,0,Winter,No Holiday,Yes
16/01/2018,296,13,5.8,47,382,0,0,Winter,No Holiday,Yes
16/01/2018,276,14,6.5,43,468,0,0,Winter,No Holiday,Yes
16/01/2018,250,15,6.3,40,498,0,0,Winter,No Holiday,Yes
16/01/2018,277,16,5.8,50,547,0,0,Winter,No Holiday,Yes
16/01/2018,381,17,5.2,58,462,0,0,Winter,No Holiday,Yes
16/01/2018,592,18,4.9,59,427,0,0,Winter,No Holiday,Yes
16/01/2018,409,19,4.6,57,432,0,0,Winter,No Holiday,Yes
16/01/2018,332,20,4.5,58,383,0,0,Winter,No Holiday,Yes
16/01/2018,342,21,4.3,56,434,0,0,Winter,No Holiday,Yes
16/01/2018,321,22,4,57,430,0,0,Winter,No Holiday,Yes
16/01/2018,242,23,3.9,60,379,0,0,Winter,No Holiday,Yes
17/01/2018,204,0,3.5,62,382,0,0,Winter,No Holiday,Yes
17/01/2018,183,1,3.3,64,339,0,0,Winter,No Holiday,Yes
17/01/2018,140,2,3.1,65,310,0,0,Winter,No Holiday,Yes
17/01/2018,75,3,3,67,297,0,0,Winter,No Holiday,Yes
17/01/2018,55,4,3,68,322,0,0,Winter,No Holiday,Yes
17/01/2018,72,5,2.9,66,325,0,0,Winter,No Holiday,Yes
17/01/2018,115,6,2.7,71,270,0,0,Winter,No Holiday,Yes
17/01/2018,272,7,2.5,71,289,0,0,Winter,No Holiday,Yes
17/01/2018,537,8,2.6,70,296,0,0,Winter,No Holiday,Yes
17/01/2018,337,9,3,66,306,0,0,Winter,No Holiday,Yes
17/01/2018,212,10,4.3,58,401,0,0,Winter,No Holiday,Yes
17/01/2018,270,11,6,51,436,0,0,Winter,No Holiday,Yes
17/01/2018,310,12,8.1,51,367,0,0,Winter,No Holiday,Yes
17/01/2018,273,13,8,54,435,0,0,Winter,No Holiday,Yes
17/01/2018,258,14,7.7,54,313,0,0,Winter,No Holiday,Yes
17/01/2018,278,15,8.5,49,400,0,0,Winter,No Holiday,Yes
17/01/2018,314,16,8.3,54,330,0,0,Winter,No Holiday,Yes
17/01/2018,380,17,7.2,57,342,0,0,Winter,No Holiday,Yes
17/01/2018,501,18,5.2,62,503,0,0,Winter,No Holiday,Yes
17/01/2018,360,19,4.2,68,446,0,0,Winter,No Holiday,Yes
17/01/2018,286,20,3.5,72,361,0,0,Winter,No Holiday,Yes
17/01/2018,320,21,3.1,74,333,0,0,Winter,No Holiday,Yes
17/01/2018,313,22,2.8,74,309,0,0,Winter,No Holiday,Yes
17/01/2018,227,23,2.7,74,291,0,0,Winter,No Holiday,Yes
18/01/2018,215,0,2.7,73,290,0,0,Winter,No Holiday,Yes
18/01/2018,190,1,3.2,72,306,0,0,Winter,No Holiday,Yes
18/01/2018,137,2,3.3,73,288,0,0,Winter,No Holiday,Yes
18/01/2018,95,3,3.6,74,273,0,0,Winter,No Holiday,Yes
18/01/2018,50,4,3.3,80,232,0,0,Winter,No Holiday,Yes
18/01/2018,68,5,2.6,82,229,0,0,Winter,No Holiday,Yes
18/01/2018,107,6,2.2,82,211,0,0,Winter,No Holiday,Yes
18/01/2018,279,7,1.5,86,189,0,0,Winter,No Holiday,Yes
18/01/2018,537,8,1.1,86,197,0,0,Winter,No Holiday,Yes
18/01/2018,305,9,1.2,84,210,0,0,Winter,No Holiday,Yes
18/01/2018,188,10,1.4,81,255,0,0,Winter,No Holiday,Yes
18/01/2018,261,11,1.8,75,301,0,0,Winter,No Holiday,Yes
18/01/2018,267,12,2.5,72,256,0,0,Winter,No Holiday,Yes
18/01/2018,307,13,3.5,54,463,0,0,Winter,No Holiday,Yes
18/01/2018,301,14,4.4,42,719,0,0,Winter,No Holiday,Yes
18/01/2018,269,15,4.2,36,957,0,0,Winter,No Holiday,Yes
18/01/2018,328,16,3.6,42,883,0,0,Winter,No Holiday,Yes
18/01/2018,416,17,2.8,46,858,0,0,Winter,No Holiday,Yes
18/01/2018,506,18,2,39,1259,0,0,Winter,No Holiday,Yes
18/01/2018,365,19,1.5,41,1210,0,0,Winter,No Holiday,Yes
18/01/2018,303,20,1.1,44,1171,0,0,Winter,No Holiday,Yes
18/01/2018,339,21,0.8,45,1184,0,0,Winter,No Holiday,Yes
18/01/2018,318,22,0.7,45,1084,0,0,Winter,No Holiday,Yes
18/01/2018,232,23,0.6,47,1046,0,0,Winter,No Holiday,Yes
19/01/2018,211,0,0.3,45,1154,0,0,Winter,No Holiday,Yes
19/01/2018,207,1,0,43,1250,0,0,Winter,No Holiday,Yes
19/01/2018,140,2,-0.3,44,1295,0,0,Winter,No Holiday,Yes
19/01/2018,93,3,-0.6,43,1316,0,0,Winter,No Holiday,Yes
19/01/2018,58,4,-0.7,45,1241,0,0,Winter,No Holiday,Yes
19/01/2018,61,5,-1.4,47,1301,0,0,Winter,No Holiday,Yes
19/01/2018,151,6,-1.8,49,1359,0,0,Winter,No Holiday,Yes
19/01/2018,334,7,-2,49,1281,0,0,Winter,No Holiday,Yes
19/01/2018,648,8,-2.5,50,1281,0,0,Winter,No Holiday,Yes
19/01/2018,387,9,-2.1,42,1519,0,0,Winter,No Holiday,Yes
19/01/2018,255,10,0,29,1592,0,0,Winter,No Holiday,Yes
19/01/2018,283,11,2.2,20,1794,0,0,Winter,No Holiday,Yes
19/01/2018,341,12,4.3,28,1858,0,0,Winter,No Holiday,Yes
19/01/2018,341,13,4.7,26,1370,0,0,Winter,No Holiday,Yes
19/01/2018,349,14,4.7,24,1552,0,0,Winter,No Holiday,Yes
19/01/2018,381,15,5.4,25,1686,0,0,Winter,No Holiday,Yes
19/01/2018,390,16,4.9,27,1648,0,0,Winter,No Holiday,Yes
19/01/2018,468,17,4.1,34,1810,0,0,Winter,No Holiday,Yes
19/01/2018,702,18,2.9,45,1629,0,0,Winter,No Holiday,Yes
19/01/2018,471,19,2,48,1519,0,0,Winter,No Holiday,Yes
19/01/2018,342,20,1.2,51,1544,0,0,Winter,No Holiday,Yes
19/01/2018,331,21,0.5,52,1595,0,0,Winter,No Holiday,Yes
19/01/2018,292,22,0,56,1544,0,0,Winter,No Holiday,Yes
19/01/2018,236,23,-0.5,59,1487,0,0,Winter,No Holiday,Yes
20/01/2018,228,0,-0.6,60,1433,0,0,Winter,No Holiday,Yes
20/01/2018,258,1,-0.9,64,1273,0,0,Winter,No Holiday,Yes
20/01/2018,216,2,-0.9,65,1369,0,0,Winter,No Holiday,Yes
20/01/2018,118,3,-0.9,65,1359,0,0,Winter,No Holiday,Yes
20/01/2018,89,4,-0.7,65,1226,0,0,Winter,No Holiday,Yes
20/01/2018,56,5,-0.3,62,862,0,0,Winter,No Holiday,Yes
20/01/2018,50,6,-0.1,60,1080,0,0,Winter,No Holiday,Yes
20/01/2018,101,7,0.2,60,1145,0,0,Winter,No Holiday,Yes
20/01/2018,191,8,0.3,63,1140,0,0,Winter,No Holiday,Yes
20/01/2018,234,9,0.9,63,1090,0,0,Winter,No Holiday,Yes
20/01/2018,259,10,2.1,60,1005,0,0,Winter,No Holiday,Yes
20/01/2018,285,11,3.7,59,978,0,0,Winter,No Holiday,Yes
20/01/2018,325,12,5.3,55,904,0,0,Winter,No Holiday,Yes
20/01/2018,356,13,6.3,55,792,0,0,Winter,No Holiday,Yes
20/01/2018,334,14,5.9,61,623,0,0,Winter,No Holiday,Yes
20/01/2018,406,15,6.3,55,355,0,0,Winter,No Holiday,Yes
20/01/2018,352,16,6.6,42,355,0,0,Winter,No Holiday,Yes
20/01/2018,377,17,5.7,53,276,0,0,Winter,No Holiday,Yes
20/01/2018,283,18,4.6,55,232,0,0,Winter,No Holiday,Yes
20/01/2018,223,19,3.5,66,187,0,0,Winter,No Holiday,Yes
20/01/2018,219,20,2.9,66,173,0,0,Winter,No Holiday,Yes
20/01/2018,220,21,2.1,48,346,0,0,Winter,No Holiday,Yes
20/01/2018,232,22,1.5,48,422,0,0,Winter,No Holiday,Yes
20/01/2018,164,23,0.8,53,382,0,0,Winter,No Holiday,Yes
21/01/2018,196,0,-0.3,60,340,0,0,Winter,No Holiday,Yes
21/01/2018,177,1,-0.8,58,400,0,0,Winter,No Holiday,Yes
21/01/2018,107,2,-1.5,63,380,0,0,Winter,No Holiday,Yes
21/01/2018,107,3,-2,60,474,0,0,Winter,No Holiday,Yes
21/01/2018,73,4,-2.3,47,984,0,0,Winter,No Holiday,Yes
21/01/2018,32,5,-2.6,49,1065,0,0,Winter,No Holiday,Yes
21/01/2018,36,6,-3.1,54,1037,0,0,Winter,No Holiday,Yes
21/01/2018,61,7,-3.2,54,1113,0,0,Winter,No Holiday,Yes
21/01/2018,115,8,-3.6,53,1227,0,0,Winter,No Holiday,Yes
21/01/2018,152,9,-3.2,46,1091,0,0,Winter,No Holiday,Yes
21/01/2018,189,10,-1.3,37,1070,0,0,Winter,No Holiday,Yes
21/01/2018,216,11,1.9,25,1493,0,0,Winter,No Holiday,Yes
21/01/2018,271,12,3.9,30,1085,0,0,Winter,No Holiday,Yes
21/01/2018,343,13,4.9,22,1446,0,0,Winter,No Holiday,Yes
21/01/2018,340,14,5.4,18,1923,0,0,Winter,No Holiday,Yes
21/01/2018,389,15,5.4,20,1890,0,0,Winter,No Holiday,Yes
21/01/2018,396,16,4.7,17,2000,0,0,Winter,No Holiday,Yes
21/01/2018,383,17,3.8,20,2000,0,0,Winter,No Holiday,Yes
21/01/2018,295,18,2.5,24,2000,0,0,Winter,No Holiday,Yes
21/01/2018,223,19,1.3,25,2000,0,0,Winter,No Holiday,Yes
21/01/2018,258,20,0.3,27,2000,0,0,Winter,No Holiday,Yes
21/01/2018,237,21,-0.1,29,2000,0,0,Winter,No Holiday,Yes
21/01/2018,207,22,-0.3,32,2000,0,0,Winter,No Holiday,Yes
21/01/2018,170,23,-0.4,32,2000,0,0,Winter,No Holiday,Yes
22/01/2018,171,0,-0.2,30,2000,0,0,Winter,No Holiday,Yes
22/01/2018,97,1,-0.2,32,2000,0,0,Winter,No Holiday,Yes
22/01/2018,73,2,-0.2,33,2000,0,0,Winter,No Holiday,Yes
22/01/2018,53,3,-0.3,31,2000,0,0,Winter,No Holiday,Yes
22/01/2018,31,4,0,32,2000,0,0,Winter,No Holiday,Yes
22/01/2018,60,5,0,32,2000,0,0,Winter,No Holiday,Yes
22/01/2018,165,6,0,33,2000,0,0,Winter,No Holiday,Yes
22/01/2018,316,7,-0.4,34,1989,0,0,Winter,No Holiday,Yes
22/01/2018,683,8,-0.7,32,1991,0,0,Winter,No Holiday,Yes
22/01/2018,365,9,0.1,33,1901,0,0,Winter,No Holiday,Yes
22/01/2018,221,10,1.1,31,1898,0,0,Winter,No Holiday,Yes
22/01/2018,277,11,2.4,27,1796,0,0,Winter,No Holiday,Yes
22/01/2018,323,12,3.9,28,1383,0,0,Winter,No Holiday,Yes
22/01/2018,281,13,3.9,33,1249,0,0,Winter,No Holiday,Yes
22/01/2018,249,14,3.3,73,744,0,0,Winter,No Holiday,Yes
22/01/2018,63,15,3.6,69,655,0,0,Winter,No Holiday,Yes
22/01/2018,18,16,2,87,140,0,0,Winter,No Holiday,Yes
22/01/2018,43,17,1.3,93,81,0,0.2,Winter,No Holiday,Yes
22/01/2018,170,18,1.1,96,187,3.3,1,Winter,No Holiday,Yes
22/01/2018,167,19,-0.1,88,582,0,1,Winter,No Holiday,Yes
22/01/2018,181,20,-0.8,85,836,0,1,Winter,No Holiday,Yes
22/01/2018,187,21,-1.8,85,590,0,1,Winter,No Holiday,Yes
22/01/2018,170,22,-3.2,81,492,0,1,Winter,No Holiday,Yes
22/01/2018,139,23,-4.2,79,554,0,1,Winter,No Holiday,Yes
23/01/2018,96,0,-5.3,77,894,0,1,Winter,No Holiday,Yes
23/01/2018,120,1,-6,76,1178,0,1,Winter,No Holiday,Yes
23/01/2018,75,2,-7.5,65,2000,0,1,Winter,No Holiday,Yes
23/01/2018,55,3,-8.6,68,2000,0,1,Winter,No Holiday,Yes
23/01/2018,45,4,-9.5,49,2000,0,1,Winter,No Holiday,Yes
23/01/2018,44,5,-10.5,46,2000,0,1,Winter,No Holiday,Yes
23/01/2018,84,6,-11.5,47,2000,0,1,Winter,No Holiday,Yes
23/01/2018,211,7,-12.5,41,2000,0,1,Winter,No Holiday,Yes
23/01/2018,423,8,-13,41,2000,0,1,Winter,No Holiday,Yes
23/01/2018,228,9,-13.3,36,2000,0,1,Winter,No Holiday,Yes
23/01/2018,132,10,-12.1,34,1968,0,1,Winter,No Holiday,Yes
23/01/2018,184,11,-11.7,27,1935,0,1,Winter,No Holiday,Yes
23/01/2018,180,12,-11.3,27,1955,0,1,Winter,No Holiday,Yes
23/01/2018,189,13,-11,27,1959,0,1,Winter,No Holiday,Yes
23/01/2018,169,14,-10.4,30,2000,0,1,Winter,No Holiday,Yes
23/01/2018,181,15,-9.7,32,2000,0,1,Winter,No Holiday,Yes
23/01/2018,181,16,-10.1,34,2000,0,1,Winter,No Holiday,Yes
23/01/2018,239,17,-10.6,38,2000,0,0.9,Winter,No Holiday,Yes
23/01/2018,351,18,-11.5,43,2000,0,0.9,Winter,No Holiday,Yes
23/01/2018,248,19,-12,47,2000,0,0.9,Winter,No Holiday,Yes
23/01/2018,178,20,-12.5,52,2000,0,0.9,Winter,No Holiday,Yes
23/01/2018,145,21,-13.2,49,2000,0,0.9,Winter,No Holiday,Yes
23/01/2018,117,22,-13.9,45,2000,0,0.9,Winter,No Holiday,Yes
23/01/2018,106,23,-14.3,38,2000,0,0.9,Winter,No Holiday,Yes
24/01/2018,90,0,-14.6,34,2000,0,0.9,Winter,No Holiday,Yes
24/01/2018,89,1,-15,31,2000,0,0.9,Winter,No Holiday,Yes
24/01/2018,50,2,-15.2,32,2000,0,0.9,Winter,No Holiday,Yes
24/01/2018,32,3,-15.2,30,2000,0,0.9,Winter,No Holiday,Yes
24/01/2018,24,4,-15.4,30,2000,0,0.9,Winter,No Holiday,Yes
24/01/2018,34,5,-15.6,29,2000,0,0.9,Winter,No Holiday,Yes
24/01/2018,71,6,-15.7,29,2000,0,0.9,Winter,No Holiday,Yes
24/01/2018,164,7,-15.9,30,2000,0,0.9,Winter,No Holiday,Yes
24/01/2018,364,8,-16.2,30,2000,0,0.9,Winter,No Holiday,Yes
24/01/2018,192,9,-15.8,27,2000,0,0.9,Winter,No Holiday,Yes
24/01/2018,90,10,-14.5,24,1902,0,0.9,Winter,No Holiday,Yes
24/01/2018,124,11,-13.1,25,1964,0,0.9,Winter,No Holiday,Yes
24/01/2018,121,12,-12.2,26,2000,0,0.9,Winter,No Holiday,Yes
24/01/2018,140,13,-12,25,1887,0,0.9,Winter,No Holiday,Yes
24/01/2018,125,14,-11.1,26,1980,0,0.8,Winter,No Holiday,Yes
24/01/2018,149,15,-10.8,29,2000,0,0.7,Winter,No Holiday,Yes
24/01/2018,124,16,-11.2,30,2000,0,0.7,Winter,No Holiday,Yes
24/01/2018,203,17,-11.8,26,2000,0,0.7,Winter,No Holiday,Yes
24/01/2018,297,18,-13,29,2000,0,0.7,Winter,No Holiday,Yes
24/01/2018,211,19,-13.8,32,2000,0,0.7,Winter,No Holiday,Yes
24/01/2018,125,20,-14.3,37,2000,0,0.7,Winter,No Holiday,Yes
24/01/2018,132,21,-14.7,40,1933,0,0.7,Winter,No Holiday,Yes
24/01/2018,121,22,-15.2,45,2000,0,0.7,Winter,No Holiday,Yes
24/01/2018,82,23,-15.7,43,2000,0,0.7,Winter,No Holiday,Yes
25/01/2018,78,0,-15.9,43,2000,0,0.7,Winter,No Holiday,Yes
25/01/2018,68,1,-16.1,42,2000,0,0.7,Winter,No Holiday,Yes
25/01/2018,60,2,-16,42,2000,0,0.7,Winter,No Holiday,Yes
25/01/2018,32,3,-16,40,2000,0,0.7,Winter,No Holiday,Yes
25/01/2018,22,4,-15.9,37,1985,0,0.7,Winter,No Holiday,Yes
25/01/2018,34,5,-15.8,37,2000,0,0.7,Winter,No Holiday,Yes
25/01/2018,71,6,-16.1,33,2000,0,0.7,Winter,No Holiday,Yes
25/01/2018,165,7,-16.2,33,2000,0,0.7,Winter,No Holiday,Yes
25/01/2018,349,8,-16.4,32,2000,0,0.6,Winter,No Holiday,Yes
25/01/2018,187,9,-16.2,33,2000,0,0.6,Winter,No Holiday,Yes
25/01/2018,105,10,-15.3,33,2000,0,0.6,Winter,No Holiday,Yes
25/01/2018,122,11,-13.8,25,1996,0,0.6,Winter,No Holiday,Yes
25/01/2018,142,12,-12.8,25,1981,0,0.6,Winter,No Holiday,Yes
25/01/2018,130,13,-11.4,27,2000,0,0.6,Winter,No Holiday,Yes
25/01/2018,160,14,-10.4,25,1981,0,0.5,Winter,No Holiday,Yes
25/01/2018,130,15,-9.7,28,2000,0,0.5,Winter,No Holiday,Yes
25/01/2018,152,16,-9.6,31,1973,0,0.5,Winter,No Holiday,Yes
25/01/2018,170,17,-10.9,32,2000,0,0.5,Winter,No Holiday,Yes
25/01/2018,288,18,-11.8,33,2000,0,0.5,Winter,No Holiday,Yes
25/01/2018,178,19,-12.7,33,2000,0,0.5,Winter,No Holiday,Yes
25/01/2018,141,20,-13.5,33,2000,0,0.5,Winter,No Holiday,Yes
25/01/2018,137,21,-14.1,35,2000,0,0.5,Winter,No Holiday,Yes
25/01/2018,113,22,-14.6,35,2000,0,0.5,Winter,No Holiday,Yes
25/01/2018,79,23,-14.9,35,2000,0,0.5,Winter,No Holiday,Yes
26/01/2018,68,0,-15.1,34,2000,0,0.5,Winter,No Holiday,Yes
26/01/2018,93,1,-15.3,34,2000,0,0.5,Winter,No Holiday,Yes
26/01/2018,54,2,-15.6,33,2000,0,0.5,Winter,No Holiday,Yes
26/01/2018,41,3,-15.9,34,2000,0,0.5,Winter,No Holiday,Yes
26/01/2018,24,4,-16.4,36,2000,0,0.5,Winter,No Holiday,Yes
26/01/2018,36,5,-16.9,38,2000,0,0.5,Winter,No Holiday,Yes
26/01/2018,64,6,-17.4,40,2000,0,0.5,Winter,No Holiday,Yes
26/01/2018,142,7,-17.5,38,2000,0,0.5,Winter,No Holiday,Yes
26/01/2018,322,8,-17.8,40,2000,0,0.5,Winter,No Holiday,Yes
26/01/2018,149,9,-17.5,37,1941,0,0.5,Winter,No Holiday,Yes
26/01/2018,96,10,-16.5,33,1703,0,0.5,Winter,No Holiday,Yes
26/01/2018,93,11,-15.6,31,1808,0,0.5,Winter,No Holiday,Yes
26/01/2018,111,12,-14.4,30,1906,0,0.5,Winter,No Holiday,Yes
26/01/2018,115,13,-13.3,28,1889,0,0.5,Winter,No Holiday,Yes
26/01/2018,116,14,-12.1,27,1879,0,0.4,Winter,No Holiday,Yes
26/01/2018,140,15,-11.4,27,1805,0,0.4,Winter,No Holiday,Yes
26/01/2018,147,16,-10.8,28,1778,0,0.4,Winter,No Holiday,Yes
26/01/2018,196,17,-11.5,31,1745,0,0.3,Winter,No Holiday,Yes
26/01/2018,305,18,-12.7,33,1835,0,0.3,Winter,No Holiday,Yes
26/01/2018,171,19,-13.2,33,1863,0,0.3,Winter,No Holiday,Yes
26/01/2018,121,20,-13.7,35,1878,0,0.3,Winter,No Holiday,Yes
26/01/2018,130,21,-14.1,36,1869,0,0.3,Winter,No Holiday,Yes
26/01/2018,108,22,-14.6,40,1746,0,0.3,Winter,No Holiday,Yes
26/01/2018,89,23,-14.4,38,1738,0,0.3,Winter,No Holiday,Yes
27/01/2018,80,0,-15,42,1766,0,0.3,Winter,No Holiday,Yes
27/01/2018,94,1,-15.1,43,1905,0,0.3,Winter,No Holiday,Yes
27/01/2018,75,2,-15.3,43,1867,0,0.3,Winter,No Holiday,Yes
27/01/2018,41,3,-15.3,43,1963,0,0.3,Winter,No Holiday,Yes
27/01/2018,36,4,-15.3,47,1868,0,0.3,Winter,No Holiday,Yes
27/01/2018,25,5,-15.4,45,2000,0,0.3,Winter,No Holiday,Yes
27/01/2018,33,6,-15.3,47,1921,0,0.3,Winter,No Holiday,Yes
27/01/2018,57,7,-15.7,53,1629,0,0.3,Winter,No Holiday,Yes
27/01/2018,84,8,-15.9,58,1369,0,0.3,Winter,No Holiday,Yes
27/01/2018,105,9,-15.1,49,1401,0,0.3,Winter,No Holiday,Yes
27/01/2018,96,10,-12.3,35,1497,0,0.3,Winter,No Holiday,Yes
27/01/2018,125,11,-9.6,33,1748,0,0.3,Winter,No Holiday,Yes
27/01/2018,145,12,-7.7,32,1763,0,0.3,Winter,No Holiday,Yes
27/01/2018,189,13,-6.6,27,1889,0,0.3,Winter,No Holiday,Yes
27/01/2018,193,14,-4.1,25,1730,0,0.2,Winter,No Holiday,Yes
27/01/2018,192,15,-3.7,26,1739,0,0,Winter,No Holiday,Yes
27/01/2018,195,16,-3.7,25,1839,0,0,Winter,No Holiday,Yes
27/01/2018,207,17,-4.6,26,2000,0,0,Winter,No Holiday,Yes
27/01/2018,162,18,-6.6,31,1988,0,0,Winter,No Holiday,Yes
27/01/2018,122,19,-7.1,33,1887,0,0,Winter,No Holiday,Yes
27/01/2018,117,20,-7.6,36,1858,0,0,Winter,No Holiday,Yes
27/01/2018,103,21,-7.9,35,1878,0,0,Winter,No Holiday,Yes
27/01/2018,114,22,-7.8,43,1804,0,0,Winter,No Holiday,Yes
27/01/2018,103,23,-7.6,42,1760,0,0,Winter,No Holiday,Yes
28/01/2018,125,0,-7.5,36,1972,0,0,Winter,No Holiday,Yes
28/01/2018,103,1,-7.5,45,1853,0,0,Winter,No Holiday,Yes
28/01/2018,72,2,-7.8,51,1627,0,0,Winter,No Holiday,Yes
28/01/2018,67,3,-7.7,49,1573,0,0,Winter,No Holiday,Yes
28/01/2018,38,4,-7.6,37,1966,0,0,Winter,No Holiday,Yes
28/01/2018,21,5,-7.5,33,2000,0,0,Winter,No Holiday,Yes
28/01/2018,30,6,-7.8,35,2000,0,0,Winter,No Holiday,Yes
28/01/2018,42,7,-8,39,2000,0,0,Winter,No Holiday,Yes
28/01/2018,72,8,-8.1,43,1943,0,0,Winter,No Holiday,Yes
28/01/2018,104,9,-7.8,41,1923,0,0,Winter,No Holiday,Yes
28/01/2018,111,10,-5.9,35,1940,0,0,Winter,No Holiday,Yes
28/01/2018,145,11,-4.6,27,1887,0,0,Winter,No Holiday,Yes
28/01/2018,189,12,-3.5,26,1756,0,0,Winter,No Holiday,Yes
28/01/2018,206,13,-2.4,22,1866,0,0,Winter,No Holiday,Yes
28/01/2018,225,14,-1.5,20,1992,0,0,Winter,No Holiday,Yes
28/01/2018,217,15,-1.9,23,2000,0,0,Winter,No Holiday,Yes
28/01/2018,187,16,-2.1,27,2000,0,0,Winter,No Holiday,Yes
28/01/2018,178,17,-3.8,32,2000,0,0,Winter,No Holiday,Yes
28/01/2018,157,18,-4.9,35,2000,0,0,Winter,No Holiday,Yes
28/01/2018,134,19,-6,31,2000,0,0,Winter,No Holiday,Yes
28/01/2018,113,20,-7,30,2000,0,0,Winter,No Holiday,Yes
28/01/2018,106,21,-7.3,34,2000,0,0,Winter,No Holiday,Yes
28/01/2018,105,22,-7.9,40,1997,0,0,Winter,No Holiday,Yes
28/01/2018,81,23,-8.7,42,1981,0,0,Winter,No Holiday,Yes
29/01/2018,80,0,-9.3,45,1976,0,0,Winter,No Holiday,Yes
29/01/2018,62,1,-9.8,47,1934,0,0,Winter,No Holiday,Yes
29/01/2018,49,2,-10.2,47,1808,0,0,Winter,No Holiday,Yes
29/01/2018,27,3,-9.8,43,1963,0,0,Winter,No Holiday,Yes
29/01/2018,26,4,-9.9,45,1967,0,0,Winter,No Holiday,Yes
